video protocol: H265
revision all
AVD CRC 7e56b6ad 1f844a7e 1f833393; 0 0 0
AVD CRC 7e1ade6f 1f7d4c52 1f813ad0; 0 0 0
AVD CRC 7e183b36 1f824021 1f7ef751; 0 0 0
AVD CRC 7e2c9237 1f893f7f 1f77f5d4; 0 0 0
AVD CRC 7e34000f 1f8b0321 1f6ff2bd; 0 0 0
AVD CRC 7e1dd04a 1f8c855a 1f6d2dbe; 0 0 0
AVD CRC 7e13a5a5 1f8acd64 1f67986a; 0 0 0
AVD CRC 7e16aed9 1f86e902 1f5dfb2b; 0 0 0
AVD CRC 7e228f6c 1f9766ef 1f598295; 0 0 0
AVD CRC 7e22db69 1f9abcbd 1f5c9275; 0 0 0
AVD CRC 7e1e4dc7 1f9c71d5 1f60f4c3; 0 0 0
AVD CRC 7e0d7ea4 1fa057ff 1f6376b4; 0 0 0
AVD CRC 7e0aa067 1f9f2d80 1f60ef8f; 0 0 0
AVD CRC 7e152349 1fa07751 1f617014; 0 0 0
AVD CRC 7e162675 1f9edaf2 1f60d467; 0 0 0
AVD CRC 7e0e8dfe 1f9ca450 1f604cd5; 0 0 0
AVD CRC 7e05ea19 1f9a965d 1f6104e9; 0 0 0
AVD CRC 7e01b0cb 1f9e91f2 1f64c578; 0 0 0
AVD CRC 7e0e6fcb 1f9adf95 1f6ac730; 0 0 0
AVD CRC 7e0ad99c 1f9a536c 1f6f1c71; 0 0 0
AVD CRC 7e0a2e01 1f9dbe49 1f6c5bc8; 0 0 0
AVD CRC 7df44594 1fa73f09 1f6a32fa; 0 0 0
AVD CRC 7e0407c4 1fa679dc 1f6f420f; 0 0 0
AVD CRC 7e050d2f 1f98516f 1f79e97e; 0 0 0
AVD CRC 7dea3664 1fa3ab88 1f77b87d; 0 0 0
AVD CRC 7e13d275 1fafcc30 1f6656a5; 0 0 0
AVD CRC 7e3481d0 1fb92700 1f770838; 0 0 0
AVD CRC 7e0d3081 1fa478eb 1f68b0d5; 0 0 0
AVD CRC 7e35242e 1fb7016d 1f701bea; 0 0 0
AVD CRC 7e23d990 1fa55f93 1f6476ff; 0 0 0
AVD CRC 7e0497fb 1f997ca0 1f6b8dfe; 0 0 0
AVD CRC 7e16afe9 1f9e1391 1f71ddf2; 0 0 0
AVD CRC 7e1730dc 1f9c073f 1f7535af; 0 0 0
AVD CRC 7e1a346c 1f9ca1a4 1f7814a6; 0 0 0
AVD CRC 7e17610c 1f9dc3ef 1f78f5f6; 0 0 0
AVD CRC 7e1ef80a 1f9ed0a1 1f797659; 0 0 0
AVD CRC 7e289bbb 1f9f9bfd 1f7a016c; 0 0 0
AVD CRC 7e31dac3 1fa064e7 1f795e7e; 0 0 0
AVD CRC 7e374c53 1fa0bba2 1f78c724; 0 0 0
AVD CRC 7dffd95d 1f7221eb 1f7e7d2f; 0 0 0
AVD CRC 7e00b335 1f726dce 1f7e795a; 0 0 0
AVD CRC 7e0053b8 1f72ad1b 1f7f36db; 0 0 0
AVD CRC 7e0424cd 1f726196 1f7f1497; 0 0 0
AVD CRC 7dfe631a 1f729cf5 1f807b6b; 0 0 0
AVD CRC 7e0190f8 1f72b322 1f851b90; 0 0 0
AVD CRC 7e1ce7ac 1f76ae3b 1f885c46; 0 0 0
AVD CRC 7e237050 1f77bdb2 1f8877d5; 0 0 0
AVD CRC 7e256525 1f80600c 1f76ba98; 0 0 0
AVD CRC 7e4dc762 1f896037 1f6d1fa7; 0 0 0
AVD CRC 7e5ac676 1f8dc8c7 1f70d912; 0 0 0
AVD CRC 7e376c58 1f8cc011 1f7206c9; 0 0 0
AVD CRC 7e26dd44 1f8cb5e8 1f766b89; 0 0 0
AVD CRC 7e1f3a3a 1f87cd04 1f7d3d8e; 0 0 0
AVD CRC 7e119105 1f837bc6 1f84fc77; 0 0 0
AVD CRC 7e099f47 1f80f8a3 1f891c58; 0 0 0
AVD CRC 7dfea6fa 1f8160f9 1f89f05c; 0 0 0
AVD CRC 7dfa0a05 1f820906 1f88bad0; 0 0 0
AVD CRC 7df5b4e1 1f837598 1f874631; 0 0 0
AVD CRC 7df050c9 1f844329 1f85dcc8; 0 0 0
AVD CRC 7defb751 1f84e12f 1f851172; 0 0 0
AVD CRC 7dee897d 1f850aeb 1f853698; 0 0 0
AVD CRC 7decf2b1 1f84ae1b 1f857ed8; 0 0 0
AVD CRC 7dec57fb 1f84c9f5 1f854f1d; 0 0 0
AVD CRC 7deb5935 1f84f5f7 1f853091; 0 0 0
AVD CRC 7de8ecc9 1f853f5f 1f84f29d; 0 0 0
AVD CRC 7e07679d 1f846baa 1f843444; 0 0 0
AVD CRC 7e0bceac 1f7bc249 1f8503b6; 0 0 0
AVD CRC 7e294530 1f87f61b 1f8256ff; 0 0 0
AVD CRC 7e09918f 1f886082 1f7a9a76; 0 0 0
AVD CRC 7e52b20c 1f8ba947 1f7f0a49; 0 0 0
AVD CRC 7e0aeb3f 1f9077ef 1f7724d1; 0 0 0
AVD CRC 7e300cb3 1f83e75d 1f7f8181; 0 0 0
AVD CRC 7e0d9448 1f757208 1f7ec04d; 0 0 0
AVD CRC 7e460e72 1f892c3a 1f76c319; 0 0 0
AVD CRC 7e20a715 1f8ca362 1f88b59f; 0 0 0
AVD CRC 7df4a85d 1f8956fe 1f9b911e; 0 0 0
AVD CRC 7e04e4de 1f84b356 1f8418a6; 0 0 0
AVD CRC 7e0d294a 1f878588 1f7f6e55; 0 0 0
AVD CRC 7e01438b 1f849306 1f8269e4; 0 0 0
AVD CRC 7e14844b 1f848cc0 1f900030; 0 0 0
AVD CRC 7e1923f0 1f8566e0 1f93017f; 0 0 0
AVD CRC 7e1430bd 1f85b311 1f8ed5ee; 0 0 0
AVD CRC 7e14bb77 1f86166b 1f8adfec; 0 0 0
AVD CRC 7e16e3cc 1f8686a1 1f8a2208; 0 0 0
AVD CRC 7e1c8d96 1f87fd2d 1f8ce09e; 0 0 0
AVD CRC 7e258cda 1f882e6d 1f8d61ee; 0 0 0
AVD CRC 7e26837c 1f8836a4 1f8dd15f; 0 0 0
AVD CRC 7e294e9d 1f884843 1f8e1f56; 0 0 0
AVD CRC 7e299283 1f8848b1 1f8e70d6; 0 0 0
AVD CRC 7e29e903 1f885a85 1f8e8b41; 0 0 0
AVD CRC 7e29ef3e 1f8853f6 1f8e8449; 0 0 0
AVD CRC 7e29e421 1f8855f0 1f8e8a58; 0 0 0
AVD CRC 7e29ecf3 1f882b71 1f8e723d; 0 0 0
AVD CRC 7e2a34fc 1f883ee6 1f8e83a1; 0 0 0
AVD CRC 7e2a3478 1f8841f7 1f8e930e; 0 0 0
AVD CRC 7e2a4dfb 1f884ae3 1f8e900f; 0 0 0
AVD CRC 7e2a0500 1f884489 1f8e8ec9; 0 0 0
AVD CRC 7e29db9f 1f8853d6 1f8e91b9; 0 0 0
AVD CRC 7e298e8f 1f8860e0 1f8e7e46; 0 0 0
AVD CRC 7e29d072 1f88628a 1f8e3400; 0 0 0
AVD CRC 7e2bae93 1f884d5d 1f8e294c; 0 0 0
AVD CRC 7e2d6b09 1f884fb8 1f8e6a33; 0 0 0
AVD CRC 7e2e199a 1f87d98a 1f8e23ef; 0 0 0
AVD CRC 7e28fd4b 1f87ca14 1f8d5fed; 0 0 0
AVD CRC 7e2033a9 1f87e504 1f8cc2dd; 0 0 0
AVD CRC 7e1476d4 1f86fab3 1f8c14a2; 0 0 0
AVD CRC 7e0a497b 1f868b18 1f8b4d53; 0 0 0
AVD CRC 7e07a2ce 1f866ff8 1f8afb96; 0 0 0
AVD CRC 7e063872 1f85d735 1f89e152; 0 0 0
AVD CRC 7e076f13 1f85c035 1f897ea4; 0 0 0
AVD CRC 7e0a951f 1f850f4a 1f87ec6c; 0 0 0
AVD CRC 7e11df79 1f856877 1f850d42; 0 0 0
AVD CRC 7e15449b 1f85d61c 1f822ea7; 0 0 0
AVD CRC 7e1689b5 1f85ff2e 1f7f8fe3; 0 0 0
AVD CRC 7e174ea2 1f85e5eb 1f7e0e0a; 0 0 0
AVD CRC 7e132e8d 1f85992b 1f7d0190; 0 0 0
AVD CRC 7e1561dd 1f852401 1f7e7e03; 0 0 0
AVD CRC 7e19e2cd 1f852a8e 1f8003ac; 0 0 0
AVD CRC 7e1611b5 1f852997 1f815a74; 0 0 0
AVD CRC 7e04945d 1f857462 1f8279fd; 0 0 0
AVD CRC 7df89b66 1f84cc78 1f845e7f; 0 0 0
AVD CRC 7deb8266 1f8487aa 1f872777; 0 0 0
AVD CRC 7dece194 1f85f721 1f8b06c9; 0 0 0
AVD CRC 7df685bd 1f8594af 1f8e4e32; 0 0 0
AVD CRC 7df9fa33 1f864cb9 1f92f39d; 0 0 0
AVD CRC 7ded2473 1f853714 1f94f5b6; 0 0 0
AVD CRC 7deba174 1f842ce6 1f935964; 0 0 0
AVD CRC 7df73aec 1f83bafe 1f90f633; 0 0 0
AVD CRC 7e005618 1f851759 1f9285aa; 0 0 0
AVD CRC 7e0505f0 1f855757 1f8d4173; 0 0 0
AVD CRC 7e0ab01b 1f874155 1f86be12; 0 0 0
AVD CRC 7e0a57a4 1f87d597 1f8280fd; 0 0 0
AVD CRC 7e142417 1f85c86b 1f7efb5c; 0 0 0
AVD CRC 7e2058de 1f82b594 1f7a9dca; 0 0 0
AVD CRC 7e1e5af9 1f7f9a6b 1f77caf7; 0 0 0
AVD CRC 7e1fe84d 1f7ed3e8 1f7737ab; 0 0 0
AVD CRC 7e1a72bc 1f7ea72c 1f76199d; 0 0 0
AVD CRC 7e10d112 1f7d4a55 1f7888ea; 0 0 0
AVD CRC 7e1f2fb8 1f7ba9b5 1f7d4272; 0 0 0
AVD CRC 7e120699 1f7ae440 1f81b68a; 0 0 0
AVD CRC 7e1095be 1f7a0cd5 1f857031; 0 0 0
AVD CRC 7e1a3b5b 1f7aa101 1f8721f4; 0 0 0
AVD CRC 7e265741 1f7b7be2 1f88cebf; 0 0 0
AVD CRC 7e2eac06 1f7d688f 1f893063; 0 0 0
AVD CRC 7e33ffd9 1f7ffadd 1f8a32a0; 0 0 0
AVD CRC 7e387a09 1f81c536 1f8a9d35; 0 0 0
AVD CRC 7e2b6f59 1f82fe46 1f8bb05c; 0 0 0
AVD CRC 7e1a5b24 1f83c6a4 1f8cbb6c; 0 0 0
AVD CRC 7e16e88c 1f85c359 1f8cbd38; 0 0 0
AVD CRC 7e191dc4 1f863997 1f8caf43; 0 0 0
AVD CRC 7e169ca5 1f875005 1f8d48a9; 0 0 0
AVD CRC 7e182a86 1f8812a7 1f8dfbbe; 0 0 0
AVD CRC 7e1e91ba 1f888c05 1f901c67; 0 0 0
AVD CRC 7e1f4a0b 1f87d24e 1f916d96; 0 0 0
AVD CRC 7e1f19db 1f86d1e0 1f940bf5; 0 0 0
AVD CRC 7e1c7bdf 1f86f646 1f9504c2; 0 0 0
AVD CRC 7e1b987a 1f86c4eb 1f970761; 0 0 0
AVD CRC 7e1924b0 1f86d162 1f96f203; 0 0 0
AVD CRC 7e0fd3ac 1f86acc8 1f97c20c; 0 0 0
AVD CRC 7e08cf4e 1f86d41a 1f982135; 0 0 0
AVD CRC 7e0d397d 1f8743d6 1f98c345; 0 0 0
AVD CRC 7e14b34d 1f877753 1f998b10; 0 0 0
AVD CRC 7e1ee47d 1f87c77e 1f994f9d; 0 0 0
AVD CRC 7e22d1ef 1f87d0f2 1f981193; 0 0 0
AVD CRC 7e248cb2 1f87dcee 1f96ebde; 0 0 0
AVD CRC 7e27d7c0 1f88070b 1f968da3; 0 0 0
AVD CRC 7e283cdb 1f87e843 1f957ab0; 0 0 0
AVD CRC 7e2686a2 1f882a60 1f9484fc; 0 0 0
AVD CRC 7e242e55 1f885eae 1f93c3ac; 0 0 0
AVD CRC 7e23afe4 1f88a318 1f935e4a; 0 0 0
AVD CRC 7e2290f2 1f88c0ab 1f9302e3; 0 0 0
AVD CRC 7e243dc3 1f88e55e 1f92c556; 0 0 0
AVD CRC 7e23408c 1f890cd0 1f92ceaf; 0 0 0
AVD CRC 7e245554 1f88fed3 1f92d44d; 0 0 0
AVD CRC 7e239c3d 1f88f87e 1f92ed5a; 0 0 0
AVD CRC 7e246c76 1f88f4df 1f933710; 0 0 0
AVD CRC 7e238008 1f88ebd3 1f932399; 0 0 0
AVD CRC 7e2446b3 1f88e572 1f933d45; 0 0 0
AVD CRC 7e252063 1f88d90d 1f934ac7; 0 0 0
AVD CRC 7e25cd69 1f88ce8b 1f9350b0; 0 0 0
AVD CRC 7e2640ec 1f88d980 1f936ec1; 0 0 0
AVD CRC 7e264acf 1f88bf5e 1f938cdb; 0 0 0
AVD CRC 7e26967b 1f88bd38 1f93c7c3; 0 0 0
AVD CRC 7e26dee0 1f88bc67 1f93d870; 0 0 0
AVD CRC 7e27451e 1f88b381 1f93f191; 0 0 0
AVD CRC 7e27a1cc 1f88897d 1f9416b9; 0 0 0
AVD CRC 7e27d5bc 1f889645 1f943af3; 0 0 0
AVD CRC 7e291f64 1f88911c 1f945f92; 0 0 0
AVD CRC 7e299f3b 1f888334 1f94968a; 0 0 0
AVD CRC 7e28f016 1f887b95 1f94acf1; 0 0 0
AVD CRC 7e287393 1f88871b 1f94a505; 0 0 0
AVD CRC 7e290486 1f888661 1f94b857; 0 0 0
AVD CRC 7e29c24d 1f887c72 1f94edf0; 0 0 0
AVD CRC 7e2a802a 1f887f8b 1f955314; 0 0 0
AVD CRC 7e2ab4dd 1f888370 1f95ab80; 0 0 0
AVD CRC 7e2b56c1 1f885f51 1f964f7f; 0 0 0
AVD CRC 7e2c81e4 1f884226 1f96cc93; 0 0 0
AVD CRC 7e2da9c2 1f8833f6 1f9773e1; 0 0 0
AVD CRC 7e2eae2e 1f87f669 1f97f723; 0 0 0
AVD CRC 7e30de1e 1f87f173 1f98cf13; 0 0 0
AVD CRC 7e2f7d63 1f87d4de 1f992116; 0 0 0
AVD CRC 7e2e89fc 1f87d1d8 1f9974cb; 0 0 0
AVD CRC 7e2d5458 1f87f4a1 1f9990f3; 0 0 0
AVD CRC 7e2dea42 1f87fb6b 1f994431; 0 0 0
AVD CRC 7e2d4665 1f871440 1f988916; 0 0 0
AVD CRC 7e2de0d6 1f87694e 1f9806aa; 0 0 0
AVD CRC 7e2f5fc8 1f86d78f 1f974b34; 0 0 0
AVD CRC 7e2dcda4 1f86d2f0 1f959547; 0 0 0
AVD CRC 7e2f7a16 1f86ee93 1f94683a; 0 0 0
AVD CRC 7e2f656a 1f872f25 1f9369c5; 0 0 0
AVD CRC 7e27583a 1f87f56e 1f9258af; 0 0 0
AVD CRC 7e17d297 1f896ef7 1f8feb7d; 0 0 0
AVD CRC 7e0a3795 1f8a8363 1f8b1ca7; 0 0 0
AVD CRC 7e074756 1f8c3308 1f857ed4; 0 0 0
AVD CRC 7e03b3b4 1f8dde71 1f7fdac8; 0 0 0
AVD CRC 7df86d48 1f8ea61e 1f7b6c14; 0 0 0
AVD CRC 7e043b06 1f8fa308 1f76b738; 0 0 0
AVD CRC 7e10e23f 1f905db2 1f7307b9; 0 0 0
AVD CRC 7e1de501 1f91280c 1f6ee5da; 0 0 0
AVD CRC 7e2aa49c 1f942bb8 1f6cba51; 0 0 0
AVD CRC 7e264ec8 1f94148c 1f6b4623; 0 0 0
AVD CRC 7e1d2035 1f90b7bc 1f6b8276; 0 0 0
AVD CRC 7e11769b 1f8ff637 1f6dc53d; 0 0 0
AVD CRC 7e0b5d3a 1f8f3f8e 1f7002d9; 0 0 0
AVD CRC 7e0720c6 1f8ce471 1f711c02; 0 0 0
AVD CRC 7e13c993 1f88aaf3 1f705ffa; 0 0 0
AVD CRC 7e26c40e 1f860bb7 1f6fad5f; 0 0 0
AVD CRC 7e2adc27 1f814d83 1f72a45b; 0 0 0
AVD CRC 7e1c40dd 1f808fee 1f751c20; 0 0 0
AVD CRC 7e25814a 1f8133ce 1f73f78f; 0 0 0
AVD CRC 7e2af9a9 1f8528bc 1f7087ba; 0 0 0
AVD CRC 7e2f0ffe 1f867078 1f7159c7; 0 0 0
AVD CRC 7e39ffbc 1f84e12c 1f70daa6; 0 0 0
AVD CRC 7e3e4ce6 1f82d001 1f739925; 0 0 0
AVD CRC 7e459bdb 1f82f693 1f7787a2; 0 0 0
AVD CRC 7e47228d 1f847331 1f77ca5e; 0 0 0
AVD CRC 7e4d5c78 1f8765ea 1f7837bc; 0 0 0
AVD CRC 7e4c758f 1f88ae25 1f7b6627; 0 0 0
AVD CRC 7e473805 1f873e01 1f7dedfb; 0 0 0
AVD CRC 7e441218 1f869f48 1f8015d7; 0 0 0
AVD CRC 7e40e369 1f84b423 1f82213c; 0 0 0
AVD CRC 7e365067 1f82bc59 1f84eca1; 0 0 0
AVD CRC 7e35943c 1f814313 1f865da4; 0 0 0
AVD CRC 7e3a155e 1f80675c 1f878093; 0 0 0
AVD CRC 7e3d239a 1f808cc1 1f8917b9; 0 0 0
AVD CRC 7e3df179 1f8090d6 1f8947fd; 0 0 0
AVD CRC 7e3d585c 1f808060 1f89c994; 0 0 0
AVD CRC 7e3bd4e8 1f8093de 1f89ba0b; 0 0 0
AVD CRC 7e3cd691 1f807099 1f89c8f7; 0 0 0
AVD CRC 7e3ddc70 1f80799e 1f89dc41; 0 0 0
AVD CRC 7e3e906a 1f801220 1f89c89a; 0 0 0
AVD CRC 7e3e9e7a 1f7ff977 1f89d995; 0 0 0
AVD CRC 7e3fc6a6 1f800f8b 1f899258; 0 0 0
AVD CRC 7e415901 1f800c93 1f88fad7; 0 0 0
AVD CRC 7e40775b 1f8010d0 1f882fa5; 0 0 0
AVD CRC 7e3fc72a 1f7ff256 1f8720dc; 0 0 0
AVD CRC 7e3dbf67 1f7fe798 1f863f05; 0 0 0
AVD CRC 7e3cc37c 1f803bd2 1f856162; 0 0 0
AVD CRC 7e3d8b2d 1f801616 1f859b1c; 0 0 0
AVD CRC 7e3c8059 1f802e30 1f87946d; 0 0 0
AVD CRC 7e439b33 1f80875a 1f8a3ba3; 0 0 0
AVD CRC 7e43427b 1f7ee19e 1f8af75c; 0 0 0
AVD CRC 7e40458e 1f7ebc6f 1f8a60b0; 0 0 0
AVD CRC 7e3dcea3 1f7eaf63 1f8a1603; 0 0 0
AVD CRC 7e40d4a2 1f7f1230 1f8882ad; 0 0 0
AVD CRC 7e4aedb8 1f7f64a4 1f8793e6; 0 0 0
AVD CRC 7e4e56b0 1f7f3d7f 1f868613; 0 0 0
AVD CRC 7e45a7a2 1f7fb4d8 1f8393e6; 0 0 0
AVD CRC 7e3e05d1 1f7f5fb0 1f7d92d9; 0 0 0
AVD CRC 7e2ef6ac 1f7f209b 1f76e28d; 0 0 0
AVD CRC 7e2cb45a 1f7eb4f5 1f6f5208; 0 0 0
AVD CRC 7e3f9532 1f7c9ee8 1f68d7de; 0 0 0
AVD CRC 7e472670 1f7e2d74 1f67e239; 0 0 0
AVD CRC 7e298d44 1f7c71cd 1f71c53e; 0 0 0
AVD CRC 7dd19f5a 1f763882 1f82848d; 0 0 0
AVD CRC 7dbd10bb 1f76778f 1f969f88; 0 0 0
AVD CRC 7e23eec6 1f7b1c56 1fa833d3; 0 0 0
AVD CRC 7e481269 1f808075 1fae905d; 0 0 0
AVD CRC 7df405ed 1f882ad2 1fa23cf0; 0 0 0
AVD CRC 7dd22bd4 1f884710 1f8f90ae; 0 0 0
AVD CRC 7e1401f8 1f86d6e0 1f7ff8b1; 0 0 0
AVD CRC 7e67cba8 1f892326 1f72aaf7; 0 0 0
AVD CRC 7e663f55 1f91cc34 1f5fc49c; 0 0 0
AVD CRC 7e02ff97 1f9b8fcb 1f52a04a; 0 0 0
AVD CRC 7d8ed8ea 1f9653d7 1f558254; 0 0 0
AVD CRC 7d8bab7e 1f820153 1f654c12; 0 0 0
AVD CRC 7da482af 1f774480 1f79b6da; 0 0 0
AVD CRC 7dbc7313 1f74f469 1f828e32; 0 0 0
AVD CRC 7dc36807 1f76f80a 1f84f474; 0 0 0
AVD CRC 7dccfa1e 1f7933c2 1f84f0cf; 0 0 0
AVD CRC 7dd2a6b9 1f81f46d 1f7e516a; 0 0 0
AVD CRC 7dd1881b 1f8780e4 1f7aa2ed; 0 0 0
AVD CRC 7dd67db1 1f890a7a 1f7a9d16; 0 0 0
AVD CRC 7dd6e54d 1f884ce5 1f79d803; 0 0 0
AVD CRC 7dd5daab 1f88998b 1f790a9c; 0 0 0
AVD CRC 7dd724b9 1f88d6ff 1f786262; 0 0 0
AVD CRC 7dd95079 1f890c7b 1f787e8f; 0 0 0
AVD CRC 7dda1dbc 1f89620f 1f78aaa1; 0 0 0
AVD CRC 7ddbdfcd 1f895bd1 1f791f86; 0 0 0
AVD CRC 7ddd8893 1f896efa 1f79525d; 0 0 0
AVD CRC 7ddfdf20 1f896d2b 1f7964d6; 0 0 0
AVD CRC 7de178e8 1f89d9df 1f79b7da; 0 0 0
AVD CRC 7de11ee6 1f8a0075 1f79e994; 0 0 0
AVD CRC 7de32bc7 1f8a2fc6 1f7a2acc; 0 0 0
AVD CRC 7de7d9b8 1f8a3c1a 1f7a53f1; 0 0 0
AVD CRC 7de83cc5 1f8a4d63 1f7aa08f; 0 0 0
AVD CRC 7dea151c 1f8a7ca0 1f7ac399; 0 0 0
AVD CRC 7de9aac6 1f8a8d28 1f7affee; 0 0 0
AVD CRC 7dea92ed 1f8aab81 1f7b3c00; 0 0 0
AVD CRC 7dec3b2e 1f8a37aa 1f7b85c6; 0 0 0
AVD CRC 7dec0763 1f89f25c 1f7ba324; 0 0 0
AVD CRC 7debd643 1f8944b0 1f7bc6df; 0 0 0
AVD CRC 7dec4a77 1f88488f 1f7bf406; 0 0 0
AVD CRC 7df08a99 1f882031 1f7b7b9a; 0 0 0
AVD CRC 7dee4d05 1f862407 1f7a9dab; 0 0 0
AVD CRC 7deb1f46 1f83a728 1f7b9304; 0 0 0
AVD CRC 7de991f0 1f822c28 1f7cbd05; 0 0 0
AVD CRC 7de4815d 1f801c12 1f7d2699; 0 0 0
AVD CRC 7dded6f5 1f7e9dae 1f7d5d3f; 0 0 0
AVD CRC 7de9286a 1f7eb12d 1f7e5037; 0 0 0
AVD CRC 7df69904 1f7f1560 1f7eea3b; 0 0 0
AVD CRC 7e02aedb 1f7e9c3d 1f80506b; 0 0 0
AVD CRC 7dfec604 1f7d707e 1f80cbf3; 0 0 0
AVD CRC 7df5f5e5 1f7d61f4 1f815aed; 0 0 0
AVD CRC 7def911f 1f7ffd2e 1f807111; 0 0 0
AVD CRC 7de645dc 1f7ee789 1f810423; 0 0 0
AVD CRC 7de3d30d 1f7d6f43 1f833596; 0 0 0
AVD CRC 7ddcc19d 1f7c0b55 1f862f2e; 0 0 0
AVD CRC 7ddf4c0d 1f7a8ad4 1f88b001; 0 0 0
AVD CRC 7de03b79 1f78ae29 1f89d51a; 0 0 0
AVD CRC 7de781d9 1f75c6e9 1f8bb222; 0 0 0
AVD CRC 7dee9da7 1f7354a5 1f8cc9ed; 0 0 0
AVD CRC 7df12aed 1f71ff64 1f8d9ad8; 0 0 0
AVD CRC 7df66cd4 1f70e615 1f8e18cf; 0 0 0
AVD CRC 7df16a59 1f70bd59 1f8e28b6; 0 0 0
AVD CRC 7e01d571 1f6ff89a 1f8ec576; 0 0 0
AVD CRC 7df9c81c 1f707320 1f8ef048; 0 0 0
AVD CRC 7df3bfb7 1f6ff301 1f8ed6ed; 0 0 0
AVD CRC 7df2b578 1f6f81bf 1f8f2e10; 0 0 0
AVD CRC 7deb8895 1f6f871b 1f905a6c; 0 0 0
AVD CRC 7e05a627 1f72fd0d 1f8f98fc; 0 0 0
AVD CRC 7deb4303 1f6f6fba 1f906c05; 0 0 0
AVD CRC 7ddc6345 1f71d5b6 1f8bed36; 0 0 0
AVD CRC 7df6c133 1f6cbf1b 1f9386ac; 0 0 0
AVD CRC 7e07787c 1f6eabc3 1f8cea53; 0 0 0
AVD CRC 7e06e918 1f6f1ec1 1f944c11; 0 0 0
AVD CRC 7e551aea 1f8cf21d 1f7f1267; 0 0 0
AVD CRC 7e1c4fce 1f8de3a2 1f5f2dea; 0 0 0
AVD CRC 7e179554 1f8dbd36 1f5cebb2; 0 0 0
AVD CRC 7e03704c 1f8a1707 1f68b4f9; 0 0 0
AVD CRC 7e1cb654 1f804313 1f7a8f54; 0 0 0
AVD CRC 7e534e53 1f7fd9ba 1f8f83e6; 0 0 0
AVD CRC 7e484312 1f7ca571 1f94c7b2; 0 0 0
AVD CRC 7e17a46c 1f783873 1f92a277; 0 0 0
AVD CRC 7e0678ca 1f813767 1f87e25e; 0 0 0
AVD CRC 7dff4434 1f8c68aa 1f7e2439; 0 0 0
AVD CRC 7e15c892 1f9081da 1f7a2da6; 0 0 0
AVD CRC 7e1ba8e9 1f848d4b 1f826102; 0 0 0
AVD CRC 7e0f894e 1f7801c6 1f8af724; 0 0 0
AVD CRC 7e2db7f7 1f78c69b 1f8a2bf2; 0 0 0
AVD CRC 7e233e13 1f7a013a 1f8dc742; 0 0 0
AVD CRC 7e145a0a 1f77523e 1f904c57; 0 0 0
AVD CRC 7e0fb8ec 1f783df3 1f9041c1; 0 0 0
