video protocol: H265
revision all
AVD CRC 3eeefc54 faf1cbb fcbef81; 0 0 0
AVD CRC 3f437042 f9a06dc fd0a29d; 0 0 0
AVD CRC 3f4f18ab f9247a0 fca82b7; 0 0 0
AVD CRC 3f382e17 f9bf92a fc9e6e5; 0 0 0
AVD CRC 3f2ab5b3 f9bca00 fca6b71; 0 0 0
AVD CRC 3f2c6140 f9a966d fca411c; 0 0 0
AVD CRC 3f2f26fe f9baead fc98c65; 0 0 0
AVD CRC 3f329005 f9b5d2f fc8be01; 0 0 0
AVD CRC 3f330266 f9cdd56 fc81c9f; 0 0 0
AVD CRC 3f344645 f9e2c9c fc78c74; 0 0 0
AVD CRC 3f374cd3 fb9cee8 fcbf45d; 0 0 0
AVD CRC 3f388206 fb9d515 fcc1201; 0 0 0
AVD CRC 3f384a35 fb9b283 fcbf21c; 0 0 0
AVD CRC 3f35e259 fb99965 fcbcfa7; 0 0 0
AVD CRC 3f31069f fb9e4d6 fc87326; 0 0 0
AVD CRC 3f24c20a fba4d97 fc1429c; 0 0 0
AVD CRC 3f08f635 fb99c2d fbdda05; 0 0 0
AVD CRC 3f1336f0 fb5ebcc fc12786; 0 0 0
AVD CRC 3f06fba3 fb21e52 fc8f23e; 0 0 0
AVD CRC 3eeca897 faad302 fca692f; 0 0 0
AVD CRC 3efc5b75 fa64202 fc7bb3e; 0 0 0
AVD CRC 3f0518d9 fa63fe9 fc6edd0; 0 0 0
AVD CRC 3efd411b fa7f3c0 fc52e39; 0 0 0
AVD CRC 3eebcfc9 fab9d50 fc2679b; 0 0 0
AVD CRC 3ee34958 fb0d2b7 fbe66cb; 0 0 0
AVD CRC 3ee97090 fb423fc fbce769; 0 0 0
AVD CRC 3eedfbaf fb49f99 fbd85be; 0 0 0
AVD CRC 3ee7c3d4 fb3b8e2 fbee59a; 0 0 0
AVD CRC 3ee4a7a5 fb2c100 fc01fe4; 0 0 0
AVD CRC 3ee4d508 fb1d137 fc11ed4; 0 0 0
AVD CRC 3ee422b8 fb156fc fc1b746; 0 0 0
AVD CRC 3ee1dbb4 fb13c56 fc1b9b5; 0 0 0
AVD CRC 3ee364c4 fb0fca7 fc1addf; 0 0 0
AVD CRC 3ee17c39 fb0deed fc1cb6a; 0 0 0
AVD CRC 3ee1024d fb0cff9 fc1d5b3; 0 0 0
AVD CRC 3ee03695 fb0b3e2 fc1edd5; 0 0 0
AVD CRC 3ee98aad fb0e3f5 fc1043a; 0 0 0
AVD CRC 3efa8057 fba7bb5 fd57d93; 0 0 0
AVD CRC 3ee87316 fa98715 fd8511b; 0 0 0
AVD CRC 3f2deafd fade627 fd171d8; 0 0 0
AVD CRC 3eed2b30 fa0f194 fdc184b; 0 0 0
AVD CRC 3f27e9ce f9acd51 fcddb25; 0 0 0
AVD CRC 3effcfc7 faf86e2 fc6c168; 0 0 0
AVD CRC 3f23369e fb6f004 fd010d1; 0 0 0
AVD CRC 3f0b7183 facfc3b fcffb57; 0 0 0
AVD CRC 3f04b78f fad18cd fc90b53; 0 0 0
AVD CRC 3f343559 fa62261 fce94a5; 0 0 0
AVD CRC 3f20e00f faeb32f fd27f2e; 0 0 0
AVD CRC 3f1dc059 fa7d780 fd0b081; 0 0 0
AVD CRC 3f1e7cf1 facd13c fd16766; 0 0 0
AVD CRC 3f05d132 face79f fcfdc7b; 0 0 0
AVD CRC 3f0420a8 facc27b fcf161a; 0 0 0
AVD CRC 3f1592a0 facc889 fcf112a; 0 0 0
AVD CRC 3f197dcb facdf3e fcf75cd; 0 0 0
AVD CRC 3f11a912 face7d6 fcf3a96; 0 0 0
AVD CRC 3f08ff98 fab594b fce9509; 0 0 0
AVD CRC 3f088fb6 fab3724 fce8844; 0 0 0
AVD CRC 3f08745c fab3b87 fce803a; 0 0 0
AVD CRC 3f080481 fab3b0e fce853f; 0 0 0
AVD CRC 3f07fac5 fab400a fce91dd; 0 0 0
AVD CRC 3f07d69e fab40b8 fce924a; 0 0 0
AVD CRC 3f080863 fab4071 fce921d; 0 0 0
AVD CRC 3f080578 fab4060 fce92aa; 0 0 0
AVD CRC 3f080abb fab403f fce92ba; 0 0 0
AVD CRC 3f080417 fab4157 fce92e1; 0 0 0
AVD CRC 3f080313 fab4157 fce928f; 0 0 0
AVD CRC 3f080493 fab415a fce941d; 0 0 0
AVD CRC 3f07e3a9 fab40f4 fce918a; 0 0 0
AVD CRC 3f07c2c9 fab40fe fce8f97; 0 0 0
AVD CRC 3f07ccaa fab4046 fce8e9e; 0 0 0
AVD CRC 3f06edb2 fab3632 fce73ef; 0 0 0
AVD CRC 3f054117 fab27b4 fce6d28; 0 0 0
AVD CRC 3f0145c6 fab296d fce8214; 0 0 0
AVD CRC 3efcb8bf fab3df2 fcebe91; 0 0 0
AVD CRC 3efe2c8c fab6006 fced09a; 0 0 0
AVD CRC 3f03ace0 fab792f fced101; 0 0 0
AVD CRC 3f0a9f59 fab5a43 fcf00e5; 0 0 0
AVD CRC 3f13f360 fab4dfa fcf1861; 0 0 0
AVD CRC 3f1c6ea5 fab42d9 fceef75; 0 0 0
AVD CRC 3f2161c4 fab5212 fcef506; 0 0 0
AVD CRC 3f24f6b9 fab4b6a fceb907; 0 0 0
AVD CRC 3f27e490 fab5114 fcea726; 0 0 0
AVD CRC 3f298596 fab47a2 fcedad3; 0 0 0
AVD CRC 3f26f44e fab1b36 fcf2aba; 0 0 0
AVD CRC 3f1e9ee8 fab12f3 fcfecc0; 0 0 0
AVD CRC 3f133df6 fab3537 fd00851; 0 0 0
AVD CRC 3f107ea9 fab3566 fcfcf32; 0 0 0
AVD CRC 3f126bc3 fab524b fcf20d3; 0 0 0
AVD CRC 3f159b9d fab59d1 fce9c50; 0 0 0
AVD CRC 3f1c4744 fab52bf fce7222; 0 0 0
AVD CRC 3f2535a1 fab2ce9 fce7848; 0 0 0
AVD CRC 3f2b5689 fab1c9a fcef4cb; 0 0 0
AVD CRC 3f2c46f6 fab43e3 fd010da; 0 0 0
AVD CRC 3f26d934 fab058d fd06a66; 0 0 0
AVD CRC 3f22e6a0 fab6cb4 fcf06b8; 0 0 0
AVD CRC 3f1f31f5 fab3085 fce1bd5; 0 0 0
AVD CRC 3f1c56b1 fab40b9 fcec553; 0 0 0
AVD CRC 3f1d53e1 fab591d fcea22f; 0 0 0
AVD CRC 3f1ec762 fab4576 fcee89b; 0 0 0
AVD CRC 3f1ec822 fab2824 fcdb1c9; 0 0 0
AVD CRC 3f1a76a3 faafab1 fcd6944; 0 0 0
AVD CRC 3f193b0c faab29b fcdcd9d; 0 0 0
AVD CRC 3f185f6f faa63f3 fceeaae; 0 0 0
AVD CRC 3f0838cb fab0178 fd27488; 0 0 0
AVD CRC 3efd9ba8 fac2692 fd5a856; 0 0 0
AVD CRC 3efb6487 fad0eb2 fd54aea; 0 0 0
AVD CRC 3f0b9825 faea4ee fd25252; 0 0 0
AVD CRC 3f07dd5a fb08814 fccc64c; 0 0 0
AVD CRC 3efb4c85 fb2616a fc73a6f; 0 0 0
AVD CRC 3ef18906 fb3909f fc2ae24; 0 0 0
AVD CRC 3ef5cf93 fb43a72 fbfc55a; 0 0 0
AVD CRC 3efcd72a fb490ae fbe7ce1; 0 0 0
AVD CRC 3efdcdc7 fb3a0ee fbe752b; 0 0 0
AVD CRC 3ef5ab0b fb27924 fbf79ce; 0 0 0
AVD CRC 3ee3e04c fb13da2 fc0f127; 0 0 0
AVD CRC 3ee7c112 fafe1f8 fc3024f; 0 0 0
AVD CRC 3f0133b8 faec517 fc51213; 0 0 0
AVD CRC 3f153b0f fae4002 fc69fa1; 0 0 0
AVD CRC 3f202a48 fadb912 fc7bf4d; 0 0 0
AVD CRC 3f303868 fad4df5 fc91fea; 0 0 0
AVD CRC 3f3fdc3f facc55a fca1a50; 0 0 0
AVD CRC 3f409316 fac36fb fca9536; 0 0 0
AVD CRC 3f35b2fc fab87b0 fcbc3f0; 0 0 0
AVD CRC 3f24989b faadb79 fcdc89b; 0 0 0
AVD CRC 3f1a06dc fa9da69 fcfdb66; 0 0 0
AVD CRC 3f17b354 fa8e8a5 fd17034; 0 0 0
AVD CRC 3f15a795 fa82b2d fd25941; 0 0 0
AVD CRC 3f1392b1 fa7860f fd29b49; 0 0 0
AVD CRC 3f12c4a1 fa70863 fd2f8b8; 0 0 0
AVD CRC 3f145a11 fa64a57 fd3191f; 0 0 0
AVD CRC 3f0eea8b fa59062 fd35e3a; 0 0 0
AVD CRC 3f07da93 fa4d7a7 fd40034; 0 0 0
AVD CRC 3f006461 fa3f823 fd4e875; 0 0 0
AVD CRC 3ef5cda6 fa369db fd58f09; 0 0 0
AVD CRC 3eecec53 fa2b072 fd6470e; 0 0 0
AVD CRC 3ee4b5fb fa2445c fd6dc83; 0 0 0
AVD CRC 3edff076 fa16dd7 fd75a7b; 0 0 0
AVD CRC 3edefb3a fa125c5 fd7f92c; 0 0 0
AVD CRC 3edff7da fa1017d fd87dc1; 0 0 0
AVD CRC 3edfb33a fa0d561 fd8eab5; 0 0 0
AVD CRC 3edf875e fa087ab fd93338; 0 0 0
AVD CRC 3edfd148 fa086f0 fd9986a; 0 0 0
AVD CRC 3ee053a5 fa07dd9 fd9ebf8; 0 0 0
AVD CRC 3ee0d0df fa06da9 fd9fab3; 0 0 0
AVD CRC 3ee0f6ae fa0722d fda13fb; 0 0 0
AVD CRC 3ee12508 fa060be fda17a3; 0 0 0
AVD CRC 3ee13e67 fa05f6a fda144f; 0 0 0
AVD CRC 3ee17d3e fa056b6 fda14ab; 0 0 0
AVD CRC 3ee1e15d fa05164 fda1cad; 0 0 0
AVD CRC 3ee23148 fa051fc fda1838; 0 0 0
AVD CRC 3ee28ee6 fa04c29 fda1973; 0 0 0
AVD CRC 3ee2bd55 fa046b0 fda1d35; 0 0 0
AVD CRC 3ee2e1cc fa04c07 fda1fef; 0 0 0
AVD CRC 3ee3d374 fa04d13 fda2d37; 0 0 0
AVD CRC 3ee3fc02 fa04dee fda301c; 0 0 0
AVD CRC 3ee447be fa04461 fda3065; 0 0 0
AVD CRC 3ee43267 fa04313 fda386e; 0 0 0
AVD CRC 3ee48052 fa043dc fda38ec; 0 0 0
AVD CRC 3ee47936 fa046a6 fda3d00; 0 0 0
AVD CRC 3ee44ca6 fa04178 fda480b; 0 0 0
AVD CRC 3ee48a57 fa044aa fda47af; 0 0 0
AVD CRC 3ee47583 fa0646f fda4d05; 0 0 0
AVD CRC 3ee40983 fa06433 fda3d61; 0 0 0
AVD CRC 3ee451ed fa07d01 fda1e7f; 0 0 0
AVD CRC 3ee42092 fa087ee fd9f246; 0 0 0
AVD CRC 3ee456b2 fa09282 fd9bfff; 0 0 0
AVD CRC 3ee383f6 fa0b547 fd96265; 0 0 0
AVD CRC 3ee2cd99 fa0c1d7 fd8f676; 0 0 0
AVD CRC 3ee1320b fa0ebf9 fd86f15; 0 0 0
AVD CRC 3ee0509e fa10edd fd7d8ad; 0 0 0
AVD CRC 3ede9f64 fa144ee fd74799; 0 0 0
AVD CRC 3eddf10d fa19ea5 fd6c2ae; 0 0 0
AVD CRC 3edc670f fa1d041 fd63391; 0 0 0
AVD CRC 3edb6ad0 fa1ed05 fd5d92e; 0 0 0
AVD CRC 3ed99cb3 fa1eb75 fd590cf; 0 0 0
AVD CRC 3ed9ee86 fa3943f fd5b94f; 0 0 0
AVD CRC 3ed996af fa35933 fd5e532; 0 0 0
AVD CRC 3edc6ae5 fa33d24 fd678c1; 0 0 0
AVD CRC 3ee1dc76 fa3042e fd72c6b; 0 0 0
AVD CRC 3eec1529 fa2d5d9 fd7cd2e; 0 0 0
AVD CRC 3ef7e7ad fa25946 fd9033e; 0 0 0
AVD CRC 3f04c1d9 fa20b3e fda26c1; 0 0 0
AVD CRC 3f150329 fa17850 fdae2f6; 0 0 0
AVD CRC 3f1cead2 fa0fa26 fdb926a; 0 0 0
AVD CRC 3f212251 fa0e06d fdc38db; 0 0 0
AVD CRC 3f247e5d fa0e664 fdca0d1; 0 0 0
AVD CRC 3f223745 fa064c6 fdd96ac; 0 0 0
AVD CRC 3f1beb3a f9fa482 fde3f99; 0 0 0
AVD CRC 3f171316 f9e9b04 fe01f5e; 0 0 0
AVD CRC 3f1a9634 f9e2d98 fe1af51; 0 0 0
AVD CRC 3f268922 f9d944f fe23a26; 0 0 0
AVD CRC 3f2fff51 f9d8a35 fe2ccc5; 0 0 0
AVD CRC 3f29bbd7 f9cdda6 fe28e02; 0 0 0
AVD CRC 3f0ccac9 f9d987d fe251f3; 0 0 0
AVD CRC 3efc0cda f9f70d3 fde80cc; 0 0 0
AVD CRC 3ef02cb6 fa50c17 fd8b078; 0 0 0
AVD CRC 3ef479c0 faa4416 fd2bc8d; 0 0 0
AVD CRC 3ef9689a faba987 fcf16ab; 0 0 0
AVD CRC 3f0984a2 fae858b fcae2a8; 0 0 0
AVD CRC 3f1b583d fae464d fc89197; 0 0 0
AVD CRC 3f1af461 faf2598 fc7c7d7; 0 0 0
AVD CRC 3f0d7cf1 fb17c50 fc6628b; 0 0 0
AVD CRC 3f154910 fb1d43b fc60cb3; 0 0 0
AVD CRC 3f1749f8 fb1ec56 fc40956; 0 0 0
AVD CRC 3f184152 fb3fa75 fc1e0d9; 0 0 0
AVD CRC 3f177304 fb48886 fc163cb; 0 0 0
AVD CRC 3f174322 fb48683 fc217db; 0 0 0
AVD CRC 3f14466a fb3b9a1 fc2c673; 0 0 0
AVD CRC 3f1293d5 fb3cc48 fc1d481; 0 0 0
AVD CRC 3f0d46d6 fb32419 fc069a5; 0 0 0
AVD CRC 3f0863eb fb3c1c3 fbeacaf; 0 0 0
AVD CRC 3f035118 fb42c4b fbdc910; 0 0 0
AVD CRC 3efae051 fb4364b fbd11f2; 0 0 0
AVD CRC 3ef390be fb485a8 fbc7ec9; 0 0 0
AVD CRC 3eec6865 fb4b656 fbad886; 0 0 0
AVD CRC 3ee5460c fb479a8 fba777c; 0 0 0
AVD CRC 3edec2f9 fb486fd fba494b; 0 0 0
AVD CRC 3edabe96 fb47495 fba20b7; 0 0 0
AVD CRC 3ed8ed38 fb47764 fba4029; 0 0 0
AVD CRC 3ed8db02 fb44878 fba8f20; 0 0 0
AVD CRC 3ed8d5cc fb43e0c fba886c; 0 0 0
AVD CRC 3ed9d36c fb43ab1 fba99d6; 0 0 0
AVD CRC 3eda87de fb43abf fba8bc6; 0 0 0
AVD CRC 3edb93b7 fb40ec3 fba88d0; 0 0 0
AVD CRC 3eddb881 fb41d17 fbaa5c4; 0 0 0
AVD CRC 3ee09e03 fb420bb fbb0365; 0 0 0
AVD CRC 3ee3a851 fb412f6 fbb8987; 0 0 0
AVD CRC 3ee6b8cb fb41882 fbc110c; 0 0 0
AVD CRC 3eea330a fb4147f fbcf298; 0 0 0
AVD CRC 3eea9039 fb43910 fbc98fd; 0 0 0
AVD CRC 3ee849d8 fb456f1 fbb5d95; 0 0 0
AVD CRC 3ee72fac fb4c8dc fb9ce9e; 0 0 0
AVD CRC 3ef2c130 fb63e46 fb94890; 0 0 0
AVD CRC 3ef8d345 fb77f6c fb966e8; 0 0 0
AVD CRC 3f016405 fb82543 fb935e4; 0 0 0
AVD CRC 3f045c46 fb86381 fb92b01; 0 0 0
AVD CRC 3f0633cb fb7f956 fb8d997; 0 0 0
AVD CRC 3f08ab3e fb7af9e fb7d21a; 0 0 0
AVD CRC 3f0c93a3 fb66bbd fb8f602; 0 0 0
AVD CRC 3f12dd32 fb4cfa0 fbb0d29; 0 0 0
AVD CRC 3f2753a0 fb3ffc5 fc20dcd; 0 0 0
AVD CRC 3f36a369 fb502f6 fcae548; 0 0 0
AVD CRC 3f2fb865 fb3078c fd10928; 0 0 0
AVD CRC 3f166779 fb19044 fd4ba80; 0 0 0
AVD CRC 3f0c2350 fb18383 fd3076e; 0 0 0
AVD CRC 3f22c042 fb48c57 fcd7173; 0 0 0
AVD CRC 3f552962 fb4fb6e fc6f5df; 0 0 0
AVD CRC 3efb7338 fb35779 fc668ea; 0 0 0
AVD CRC 3effe339 fab7851 fcb7be6; 0 0 0
AVD CRC 3f312ca1 fa6f06a fc64618; 0 0 0
AVD CRC 3f2991c5 fa909c4 fcc8dcc; 0 0 0
AVD CRC 3f16820c fa728c0 fd9cc78; 0 0 0
AVD CRC 3f040fc8 f9e145a feb291e; 0 0 0
AVD CRC 3ef1f871 fa076b3 fee726e; 0 0 0
AVD CRC 3efbc8df fa06c40 fefccc4; 0 0 0
AVD CRC 3f158095 fa12473 feec34d; 0 0 0
AVD CRC 3f24a1f6 fac9cf7 fe01e1c; 0 0 0
AVD CRC 3f374474 fbc41a2 fcf0d8b; 0 0 0
AVD CRC 3f416358 fc191e2 fc2b91e; 0 0 0
AVD CRC 3f586869 fc046ec fb8db4b; 0 0 0
AVD CRC 3f41fb0e fb6415d fbb43d1; 0 0 0
AVD CRC 3f2e0f29 faa013c fc4d17b; 0 0 0
AVD CRC 3f25a731 fa40a53 fc96abf; 0 0 0
AVD CRC 3f2938f5 fa475d0 fca34f3; 0 0 0
AVD CRC 3f2fe5d3 fa4fc3b fca9f4c; 0 0 0
AVD CRC 3f387994 fa57073 fcace8e; 0 0 0
AVD CRC 3f38c556 fa5b40f fca7fd7; 0 0 0
AVD CRC 3f394d3e fa5c2b8 fcabb45; 0 0 0
AVD CRC 3f39eafb fa5e60a fca7ea9; 0 0 0
AVD CRC 3f37105e fa5d85c fca67b4; 0 0 0
AVD CRC 3f3559b0 fa5ae61 fca47b3; 0 0 0
AVD CRC 3f3469bd fa5a9e8 fca4fbf; 0 0 0
AVD CRC 3f335f2d fa5b809 fca1b5d; 0 0 0
AVD CRC 3f33f035 fa5d34f fc9f726; 0 0 0
AVD CRC 3f344def fa5c71c fc9d2f8; 0 0 0
AVD CRC 3f345393 fa5decb fc9e673; 0 0 0
AVD CRC 3f345826 fa5de3a fc9ca6f; 0 0 0
AVD CRC 3f342bde fa5e428 fc9cbd7; 0 0 0
AVD CRC 3f348595 fa5d557 fc9c502; 0 0 0
AVD CRC 3f33b921 fa5d713 fc9c8a9; 0 0 0
AVD CRC 3f3378dc fa5f624 fc9e572; 0 0 0
AVD CRC 3f33e398 fa605ad fca4f6d; 0 0 0
AVD CRC 3f2f7ba4 fa61e62 fca135a; 0 0 0
AVD CRC 3f2e177f fa5cee9 fca5af1; 0 0 0
AVD CRC 3f2e3c68 fa59e9a fc997c0; 0 0 0
AVD CRC 3f295a69 fa5b9ce fc9623a; 0 0 0
AVD CRC 3f1cc1e9 fa6f782 fc93528; 0 0 0
AVD CRC 3f163790 fa86287 fc94b1d; 0 0 0
AVD CRC 3f0951ac faaeef0 fc8e425; 0 0 0
AVD CRC 3efe0dd6 fadaf0c fc81036; 0 0 0
AVD CRC 3ef29a31 fafedee fc62211; 0 0 0
AVD CRC 3ef547c9 fb2c411 fc4ad7f; 0 0 0
AVD CRC 3ef4f282 fb5d0f0 fc42e7d; 0 0 0
AVD CRC 3ef6a394 fb65ef1 fc3c86a; 0 0 0
AVD CRC 3ef18b88 fb6903d fc36b37; 0 0 0
AVD CRC 3ef2a7b6 fb6c04d fc46d28; 0 0 0
AVD CRC 3eedb2bc fb7b9ed fc31b16; 0 0 0
AVD CRC 3ee9b903 fb8bbd7 fc15c16; 0 0 0
AVD CRC 3eec1d9f fb95b66 fbfb911; 0 0 0
AVD CRC 3eec8bd2 fb9d5a6 fbe5aef; 0 0 0
AVD CRC 3eee1813 fba03e5 fbdae0c; 0 0 0
AVD CRC 3ef61395 fbaa071 fbcd9e1; 0 0 0
AVD CRC 3ef8ce40 fbaa9b7 fbcb12b; 0 0 0
AVD CRC 3efe24ef fba9899 fbca30f; 0 0 0
AVD CRC 3f01362e fba7989 fbc2c7f; 0 0 0
AVD CRC 3f022ab9 fba47ca fbbf4f0; 0 0 0
AVD CRC 3efbe6f4 fba2fe7 fbbb755; 0 0 0
AVD CRC 3f0df1ea fba46c9 fbb91ef; 0 0 0
AVD CRC 3efd8149 fba4baf fbb4f73; 0 0 0
AVD CRC 3efae94a fba6a0e fbb3ab4; 0 0 0
AVD CRC 3f05623b fba5270 fbaf7f6; 0 0 0
AVD CRC 3f0907df fba36c3 fbaf8bb; 0 0 0
AVD CRC 3f0bd424 fba2d79 fbb0776; 0 0 0
AVD CRC 3f060c26 fba02c6 fbdeff4; 0 0 0
AVD CRC 3f0dc45e fb9fcd3 fb73b90; 0 0 0
AVD CRC 3efad966 fba28a5 fbd08fe; 0 0 0
AVD CRC 3ef63f7a fbfed64 fb18e61; 0 0 0
AVD CRC 3f085c7e fa77cc2 fc4e0e0; 0 0 0
AVD CRC 3f154194 fa7804d fe51e35; 0 0 0
AVD CRC 3f13ec91 fa9eefd fe414aa; 0 0 0
AVD CRC 3f278d29 faeee14 fd5c15b; 0 0 0
AVD CRC 3f0e0663 faece55 fc842fd; 0 0 0
AVD CRC 3ee70570 fb1da25 fb17d07; 0 0 0
AVD CRC 3ef7adf5 fb612c0 fa9eeba; 0 0 0
AVD CRC 3f028cfb fb9ae67 fb497a1; 0 0 0
AVD CRC 3f0e8f27 fb46aa3 fbe3718; 0 0 0
AVD CRC 3f05ffc9 fa94f6b fca8113; 0 0 0
AVD CRC 3f0612ac fa292f8 fd275ec; 0 0 0
AVD CRC 3efdb575 fa85867 fcbcd56; 0 0 0
AVD CRC 3f0130ad fb18c4a fc5c016; 0 0 0
AVD CRC 3ef71615 fb29a20 fc4718e; 0 0 0
AVD CRC 3ef80398 fb34249 fc3243a; 0 0 0
AVD CRC 3ef13c81 fb6cbe2 fbd6724; 0 0 0
AVD CRC 3eeb2191 fb87cf0 fba76a5; 0 0 0
AVD CRC 3ef83110 fb91098 fb8d3ce; 0 0 0
AVD CRC 3ee1a94a fb8f93e fb8b998; 0 0 0
AVD CRC 3eea63d4 fb76c2b fb907f3; 0 0 0
AVD CRC 3ef11627 facb270 fc70b6f; 0 0 0
AVD CRC 3ef4f8f8 fb6a8aa fbb25b4; 0 0 0
AVD CRC 3ee68a76 fb56ec5 fbaa5af; 0 0 0
AVD CRC 3ee8ba5d fb45e46 fbafe9e; 0 0 0
AVD CRC 3eea1093 fb4899f fbb4fa5; 0 0 0
AVD CRC 3eeba01a fb50bac fbb948f; 0 0 0
AVD CRC 3eec1243 fb58157 fbbf0a0; 0 0 0
AVD CRC 3eecc70e fb5d661 fbbff3c; 0 0 0
AVD CRC 3ee7bc05 fb66e8a fbc2ff3; 0 0 0
AVD CRC 3eead5bf fb6a93d fbc5632; 0 0 0
AVD CRC 3eef70fc fb6c045 fb4ff83; 0 0 0
AVD CRC 3ef1307e fb69192 fbbe726; 0 0 0
AVD CRC 3edb3c5c fcb40bb fab45bd; 0 0 0
AVD CRC 3edb04e0 fb1827c fb92e13; 0 0 0
AVD CRC 3ee1c3c6 fb84250 fce587d; 0 0 0
AVD CRC 3eed5683 fb72a56 faf7cbb; 0 0 0
AVD CRC 3ee2f32e fb6a2dc fbc564b; 0 0 0
AVD CRC 3f453980 fc03fdc fa601bc; 0 0 0
AVD CRC 3f32408e fa1a8ab fdc2bdd; 0 0 0
AVD CRC 3f175d3e f98fea3 fe209b6; 0 0 0
AVD CRC 3f2ca867 fa547d8 fea2974; 0 0 0
AVD CRC 3f0f0f9c fb5a9b3 fd24743; 0 0 0
AVD CRC 3f463604 fb2b24a fd1e001; 0 0 0
AVD CRC 3f211033 fac2e0a fdab902; 0 0 0
AVD CRC 3f0572cd fa822c2 fe013e9; 0 0 0
AVD CRC 3f1907ae fa33662 fe774cb; 0 0 0
AVD CRC 3f31e563 fa13a6b fe96a27; 0 0 0
AVD CRC 3f292121 fa786b8 fe07298; 0 0 0
AVD CRC 3f283d10 fae92be fde24ac; 0 0 0
AVD CRC 3f22db27 fae8671 fdeb42e; 0 0 0
AVD CRC 3f20bfe8 facc322 fe6befe; 0 0 0
AVD CRC 3f1c1e5a fa47c12 fefbd09; 0 0 0
AVD CRC 3f184d0e fab3ca8 fddd4e8; 0 0 0
AVD CRC 3f048afd fad127d fdefe4a; 0 0 0
AVD CRC 3f0aa93e fa25c36 fdf6fbd; 0 0 0
AVD CRC 3f20bca0 fa90615 fe182e4; 0 0 0
AVD CRC 3ef90637 fa529a4 fec2ea7; 0 0 0
AVD CRC 3ef4635c facd459 fdd7099; 0 0 0
AVD CRC 3f7525c4 fa499c5 fe4a0c0; 0 0 0
AVD CRC 3f3b9b4c fa336fc fd4ca7f; 0 0 0
AVD CRC 3f6d6fe1 fa0eaa6 fd48d79; 0 0 0
AVD CRC 3efc9210 fa756da fd7c36c; 0 0 0
AVD CRC 3f34b68e f9ade14 fcf7b0d; 0 0 0
AVD CRC 3f04541b f9b8f5b fe9a231; 0 0 0
AVD CRC 3f058ded fbb43f5 fd16e7a; 0 0 0
AVD CRC 3efbce96 fa4a2b7 fc29743; 0 0 0
AVD CRC 3f001136 fbd8a89 fbf58c6; 0 0 0
AVD CRC 3f08d349 fa65d24 fda1ef7; 0 0 0
AVD CRC 3f022ff7 fa6b29e fe0ba44; 0 0 0
AVD CRC 3ee9aad4 fa9881a fe370d2; 0 0 0
AVD CRC 3ef15cef fa9e563 fd8fbd3; 0 0 0
AVD CRC 3efad1b8 fae91ed fd10e02; 0 0 0
AVD CRC 3f474540 fb0fd4b fb9624f; 0 0 0
