SROM fields,,,,,BCM9X531EVB_1 Rev 01 (FCC),
434,1B2,217,D9,dot11agduphrpo,0x0000,"11a/g duplicate mode signed power increase offsets for 64 QAM. Common power offset for Dup40, Dup40in80, and Dup40in160 w.r.t 40in40 11n/11ac, Quad80 and Quad80in160 w.r.t. 11ac 80in80, Oct160 w.r.t. 11ac 160in160. LSB to MSB nibble: (0) 2G band (1) 5G low subband (2) 5G mid subband (3) 5G high subband"
436,1B4,218,DA,dot11agduplrpo,0x0000,"11a/g duplicate mode signed power increase offsets for 16 QAM and below. Common power offset for Dup40, Dup40in80, and Dup40in160 w.r.t 40in40 11n/11ac, Quad80 and Quad80in160 w.r.t. 11ac 80in80, Oct160 w.r.t. 11ac 160in160. LSB to MSB nibble: (0) 2G band (1) 5G low subband (2) 5G mid subband (3) 5G high subband "
438,1B6,219,DB,signature,0x0000,"SROM Rev10 Signature word, set to 0 for SROM Rev11"
440,1B8,220,DC,reserved,0xffff,reserved
442,1BA,221,DD,"sar5g, sar2g",0xffff,"SAR limit, [15:8] 5G; [7:0] 2G "
444,1BC,222,DE,"noiselvl2ga0,1,2 ",0xffff,"Noise level 2G, [4:0]=a0_noise, [9:5]=a1_noise, [14:10]=a2_noise 
True noise level for core 0 = -70 - a0_noise (in dBm); same for cores 1,2 "
446,1BE,223,DF,"noiselvl5gla0,1,2 ",0xffff,Noise level 5G lower band
448,1C0,224,E0,"noiselvl5gma0,1,2 ",0xffff,Noise level 5G middle band 
450,1C2,225,E1,"noiselvl5gha0,1,2",0xffff,Noise level 5G high band 
452,1C4,226,E2,"noiselvl5gua0,1,2",0xffff,Noise level 5G ultra high band 
454,1C6,227,E3,"rxgainerr2ga0,1,2",0xffff,"Rx gain error 2G 
Bits [5:0] = a0_gainerror in S4.1 format (dB) 
Bits [10:6] = a1_delta in S3.1 format (dB) 
Bits [15:10] = a2_delta in S3.1 format (dB) 
a1_gainerror = a0_gainerror + a1_delta, a2_gainerror = a0_gainerror + a2_delta "
456,1C8,228,E4,"rxgainerr5gla0,1,2",0xffff,"Rx gain error 5G lower band (expansion same as rxgainerr2ga0,1,2) "
458,1CA,229,E5,"rxgainerr5gma0,1,2",0xffff,"Rx gain error 5G middle band (expansion same as rxgainerr2ga0,1,2) "
460,1CC,230,E6,"rxgainerr5gha0,1,2",0xffff,"Rx gain error 5G high band (expansion same as rxgainerr2ga0,1,2) "
462,1CE,231,E7,"rxgainerr5gua0,1,2",0xffff,"Rx gain error 5G ultra high band (expansion same as rxgainerr2ga0,1,2) "
464,1D0,232,E8,eu_edcrsth,0xffff,"15:8 eu_edthresh5g, 7:0 eu_edthresh2g. In 2s compliment format. dBm value "
466,1D2,233,E9,sromrev,0xXX0B,"7:0 Srom revision, 15:8 CRC (rev 11)"
