SROM fields,,,,,,BCM943602X100EVB_6 Rev 13 (FCC),,
Byte Offset,,Word Offset,,Description,Value,Explanation,,
430,1AE,215,D7,sb20in80and160lr5gh1po ,0x0000,"5G high1 sb 20in80, 20in160 OFDM sign. pwr off. for 16 QAM & below. LSB nib to MSB nib: 20in80 w.r.t.
20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t 20in160 sb",,
432,1B0,216,D8,sb40and80lr5gh1po,0x0000,"5G high1 sb 40in80, 40in160 OFDM sign. pwr off. for 16 QAM & below. LSB nib. to MSB nib.: 40in80 w.r.t.
40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
434,1B2,217,D9,dot11agduphrpo,0x0000,"11a/g dupl. m. s. p.o. for 64 QAM. Cm p.o. D40, D40in80, and D40in160 w.r.t 40in40 11n/ac,Quad80 and Quad80in160 w.r.t. 11ac 80in80, Oct160 w.r.t. 11ac 160in160. LSB to MSB nib: 2G/5Glow/5Gmid/5Ghigh",,
436,1B4,218,DA,dot11agduplrpo,0xccc0,"11a/g dupl. m. s. p. o. for 16 QAM Cm p. o. D40, D40in80, & D40in160 w.r.t 40in40 11n/ac, Q80 & Q80in160 w.r.t. 11ac 80in80, O160 w.r.t. 11ac 160in160. LSBtoMSB nib: 2G/5Glow/5Gmid/5Ghigh",,
438,1B6,219,DB,reserved,0xffff,,,
440,1B8,220,DC,pcieinterference,0xffff  ,,,
442,1BA,221,DD,sar,0x0f12  ,"SAR limit: 5G (15dBm, upper nibble), 2G (18dBm, lower nibble)",,
444,1BC,222,DE,noiselvl2g,0xffff  ,Noise level: added during MFGc testing when rssi_cal_rev flag=0 ,,
446,1BE,223,DF,noiselvl5gl/rxgaintempcoeff5gl_c0,0x2c32  ,"Noise level: added during MFGc testing when rssi_cal_rev=0 else 5g low band rxgain temp coeff core0  [b15-8 for coeff with elna Off, b7-0 for coeff with elna ON].  Same bit format for other core and 5g cases below.",,
448,1C0,224,E0,noiselvl5gm/rxgaintempcoeff5gml_c0,0x2c32  ,Noise level: added during MFGc testing when rssi_cal_rev=0 else 5g mid-lower subband rxgain temp coeff core0,,
450,1C2,225,E1,noiselvl5gh/rxgaintempcoeff5gmu_c0,0x2c32  ,Noise level: added during MFGc testing when rssi_cal_rev=0 else 5g mid-upper subband rxgain temp coeff core 0,,
452,1C4,226,E2,noiselvl5gu/rxgaintempcoeff5gh_c0,0x2e34,Noise level: added during MFGc testing when rssi_cal_rev=0 else 5g high band rxgain temp coeff core 0,,
454,1C6,227,E3,reserved,0xffff  ,Rx gain error: added during MFGc testing when rssi_cal_rev=0,,
456,1C8,228,E4,rxgaintempcoeff5gl_c1,0x2c32  ,Rx gain error: added during MFGc testing when rssi_cal_rev=0 else 5g low band rxgain temp coeff core 1,,
458,1CA,229,E5,rxgaintempcoeff5gml_c1,0x2c32  ,Rx gain error: added during MFGc testing when rssi_cal_rev =0 else 5g mid-lower subband rxgain temp coeff core 1,,
460,1CC,230,E6,rxgaintempcoeff5gmu_c1,0x2c32  ,Rx gain error: added during MFGc testing when rssi_cal_rev=0 else 5g mid-upper subband rxgain temp coeff core 1,,
462,1CE,231,E7,rxgaintempcoeff5gh_c1,0x2e34,Rx gain error: added during MFGc testing when rssi_cal_rev=0 else 5g high band rxgain temp coeff core 1,,
464,1D0,232,E8,trloss_adj_time_dur; trloss_adj_temp_thresh,0x1e0a  ,bit8:15 time period for trloss temperature cal; bit 0:7 temperature difference to trigger trloss cal,,
466,1D2,233,E9,reserved,0xffff  ,reserved,,
468,1D4,234,EA,mcsbw205gh2po,0x3000,"5G high2 sb: 11ag/11n/11ac mcs 0/1/2,  3-7, 11ac mcs 8, 11ac mcs 9 20 MHz. LSB nib: m0/1/2, MSB nib: c9",,
470,1D6,235,EB,(mcsbw205gh2po) ,0x7533,,,
472,1D8,236,EC,mcsbw405gh2po,0x4000,"5G high2 sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 40 MHz. LSB nib: m0/1/2, MSB nib: c9",,
474,1DA,237,ED,(mcsbw405gh2po),0x8644,,,
476,1DC,238,EE,mcsbw805gh2po ,0x4000,"5G high2 sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 80 MHz. LSB nib: m0/1/2, MSB nib: c9",,
478,1DE,239,EF,(mcsbw805gh2po),0x8644,,,
480,1E0,240,F0,mcslr5gh2po ,0x0000,5G high2 sb 11ag/n/ac QPSK power offset w.r.t. BPSK - mcs 1/2 w.r.t mcs 0/1/2 and 12/18 Mbps w.r.t 6/9 Mbps. LSB to MSB nib: 20/40/80/160MHz,,
482,1E2,241,F1,sb40and80lr5gh2po,0x0000,"5G high2 sb 40in80, 40in160 OFDM sign. pwr off. for 16 QAM & below. LSB nib. to MSB nib.: 40in80 w.r.t. 40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
484,1E4,242,F2,sb20in80and160lr5gh2po,0x0000,"5G high2 sb 20in80, 20in160 OFDM sign. pwr off. for 16 QAM & below. LSB nib to MSB nib: 20in80 w.r.t. 20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t 20in160 sb",,
486,1E6,243,F3,sb20in80and160hr5gh2po ,0x0000,"5G high2 sb 20in80, 20in160 OFDM sign. pwr off. for 64 QAM and above. LSB nib to MSB nib: 20in80 w.r.t. 20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t 20in160 sb",,
488,1E8,244,F4,sb40and80hr5gh2po,0x0000,"5G high2 sb 40in80, 40in160 OFDM sign. pwr off. for 64 QAM and above. LSB nib to MSB nib: 40in80 w.r.t. 40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
490,1EA,245,F5,mcsbw205gx1po,0x3000,"5G X1 sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 20 MHz. LSB nib: m0/1/2, MSB nib: c9",,
492,1EC,246,F6,(mcsbw205gx1po) ,0x7533,,,
494,1EE,247,F7,mcsbw405gx1po,0x4000,"5G X1 sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 40 MHz. LSB nib: m0/1/2, MSB nib: c9.",,
496,1F0,248,F8,(mcsbw405gx1po),0x8644,,,
498,1F2,249,F9,mcsbw805gx1po ,0x4000,"5G X1 sb: 11ag/11n/11ac mcs 0/1/2, 3-7, 11ac mcs 8, 11ac mcs 9 80 MHz. LSB nib: m0/1/2, MSB nib: c9",,
500,1F4,250,FA,(mcsbw805gx1po),0x8644,,,
502,1F6,251,FB,mcslr5gx1po ,0x0000,5G X1 sb 11ag/n/ac QPSK power offset w.r.t. BPSK - mcs 1/2 w.r.t mcs 0/1/2 and 12/18 Mbps w.r.t 6/9 Mbps. LSB to MSB nib: 20/40/80/160MHz,,
504,1F8,252,FC,sb40and80lr5gx1po,0x0000,"5G X1 sb 40in80, 40in160 OFDM sign. pwr off. for 16 QAM & below. LSB nib. to MSB nib.: 40in80 w.r.t. 40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
506,1FA,253,FD,sb20in80and160lr5gx1po,0x0000,"5G X1 sb 20in80, 20in160 OFDM sign. pwr off. for 16 QAM & below. LSB nib to MSB nib: 20in80 w.r.t. 20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t 20in160 sb",,
508,1FC,254,FE,sb20in80and160hr5gx1po ,0x0000,"5G X1 sb 20in80, 20in160 OFDM sign. pwr off. for 64 QAM and above. LSB nib to MSB nib: 20in80 w.r.t. 20in20/20in160 w.r.t. 20in20/20in80 - 20LL/UU w.r.t to 20LU/UL/20in160 - 20LLL/UUU w.r.t 20in160 sb",,
510,1FE,255,FF,sb40and80hr5gx1po,0x0000,"5G X1 sb 40in80, 40in160 OFDM sign. pwr off. for 64 QAM and above. LSB nib to MSB nib: 40in80 w.r.t. 40in40/40in160 w.r.t. 40in40/80in160 w.r.t. 80in80/40in160 - 40LL/UU w.r.t to 40LU/UL",,
512,200,256,100,maxp5gb4/maxp2ga0,0x4850,5G/2G Band ant0: Max Power subband4 (15:8) / Max Power (7:0),,
514,202,257,101,pa2g20b0w0a0,0x1BED,2Ghz_subband0_PA_parameters_word0,,
516,204,258,102,pa2g20b0w1a0,0xD061,2Ghz_subband0_PA_parameters_word1,,
518,206,259,103,pa2g20b0w2a0,0x0000,2Ghz_subband0_PA_parameters_word2,,
520,208,260,104,pa2g20b0w3a0,0x1350,2Ghz_subband0_PA_parameters_word3,,
522,20A,261,105,rxgains core0,0xB3AB,"upper 8 bits 5G, lower 2G. 8 bit definition – tr_elnabypass[7], tr_iso[6:3], elna_gain[2:0]",,
524,20C,262,106,maxp5gb0/maxp5gb1,0x4848,5G Band ant0: Max power subband1 (15:8) / Max power subband0 (7:0),,
526,20E,263,107,maxp5gb2/maxp5gb3,0x4848,5G Band ant0: Max power subband3 (15:8) / Max power subband2 (7:0),,
528,210,264,108,pa5g20b0w0a0,0x1A03,5Ghz_subband0_PA_parameters_word0,,
530,212,265,109,pa5g20b0w1a0,0xE1B7,5Ghz_subband0_PA_parameters_word1,,
532,214,266,10A,pa5g20b0w2a0,0xF634,5Ghz_subband0_PA_parameters_word2,,
534,216,267,10B,pa5g20b0w3a0,0x293F,5Ghz_subband0_PA_parameters_word3,,
536,218,268,10C,pa5g20b1w0a0,0x1A02,5Ghz_subband1_PA_parameters_word0,,
538,21A,269,10D,pa5g20b1w1a0,0xE2DE,5Ghz_subband1_PA_parameters_word1,,
540,21C,270,10E,pa5g20b1w2a0,0xF5A4,5Ghz_subband1_PA_parameters_word2,,
542,21E,271,10F,pa5g20b1w3a0,0x28B5,5Ghz_subband1_PA_parameters_word3,,
544,220,272,110,pa5g20b2w0a0,0x19C2,5Ghz_subband2_PA_parameters_word0,,
546,222,273,111,pa5g20b2w1a0,0xE58B,5Ghz_subband2_PA_parameters_word1,,
548,224,274,112,pa5g20b2w2a0,0xF42D,5Ghz_subband2_PA_parameters_word2,,
550,226,275,113,pa5g20b2w3a0,0x23E7,5Ghz_subband2_PA_parameters_word3,,
552,228,276,114,pa5g20b3w0a0,0x19CD,5Ghz_subband3_PA_parameters_word0,,
554,22A,277,115,pa5g20b3w1a0,0xE51A,5Ghz_subband3_PA_parameters_word1,,
556,22C,278,116,pa5g20b3w2a0,0xF4A8,5Ghz_subband3_PA_parameters_word2,,
558,22E,279,117,pa5g20b3w3a0,0x274E,5Ghz_subband3_PA_parameters_word3,,
560,230,280,118,pa5g20b4w0a0,0x19B8,5Ghz_subband4_PA_parameters_word0,,
562,232,281,119,pa5g20b4w1a0,0xE4EB,5Ghz_subband4_PA_parameters_word1,,
564,234,282,11A,pa5g20b4w2a0,0xF4FD,5Ghz_subband4_PA_parameters_word2,,
566,236,283,11B,pa5g20b4w3a0,0x28ED,5Ghz_subband4_PA_parameters_word3,,
568,238,284,11C,pa2g40b0w0a0,0xffff,2Ghz_subband0_PA_parameters_word0,,
570,23A,285,11D,pa2g40b0w1a0,0xffff,2Ghz_subband0_PA_parameters_word1,,
572,23C,286,11E,pa2g40b0w2a0,0xffff,2Ghz_subband0_PA_parameters_word2,,
574,23E,287,11F,pa2g40b0w3a0,0xffff,2Ghz_subband0_PA_parameters_word3,,
576,240,288,120,pa5g40b0w0a0,0x1B82,5Ghz_subband0_PA_parameters_word0,,
578,242,289,121,pa5g40b0w1a0,0xD6CB,5Ghz_subband0_PA_parameters_word1,,
580,244,290,122,pa5g40b0w2a0,0xFAEE,5Ghz_subband0_PA_parameters_word2,,
582,246,291,123,pa5g40b0w3a0,0x2F15,5Ghz_subband0_PA_parameters_word3,,
584,248,292,124,pa5g40b1w0a0,0x1B6D,5Ghz_subband1_PA_parameters_word0,,
586,24A,293,125,pa5g40b1w1a0,0xD7CE,5Ghz_subband1_PA_parameters_word1,,
588,24C,294,126,pa5g40b1w2a0,0xFA88,5Ghz_subband1_PA_parameters_word2,,
590,24E,295,127,pa5g40b1w3a0,0x3059,5Ghz_subband1_PA_parameters_word3,,
592,250,296,128,pa5g40b2w0a0,0x1B20,5Ghz_subband2_PA_parameters_word0,,
594,252,297,129,pa5g40b2w1a0,0xDA9B,5Ghz_subband2_PA_parameters_word1,,
596,254,298,12A,pa5g40b2w2a0,0xF93E,5Ghz_subband2_PA_parameters_word2,,
598,256,299,12B,pa5g40b2w3a0,0x2E23,5Ghz_subband2_PA_parameters_word3,,
600,258,300,12C,pa5g40b3w0a0,0x1B25,5Ghz_subband3_PA_parameters_word0,,
602,25A,301,12D,pa5g40b3w1a0,0xDB2B,5Ghz_subband3_PA_parameters_word1,,
604,25C,302,12E,pa5g40b3w2a0,0xF92F,5Ghz_subband3_PA_parameters_word2,,
606,25E,303,12F,pa5g40b3w3a0,0x2FD2,5Ghz_subband3_PA_parameters_word3,,
608,260,304,130,pa5g40b4w0a0,0x1B01,5Ghz_subband4_PA_parameters_word0,,
610,262,305,131,pa5g40b4w1a0,0xDB3F,5Ghz_subband4_PA_parameters_word1,,
612,264,306,132,pa5g40b4w2a0,0xF936,5Ghz_subband4_PA_parameters_word2,,
614,266,307,133,pa5g40b4w3a0,0x2E6D,5Ghz_subband4_PA_parameters_word3,,
616,268,308,134,pa5g80b0w0a0,0x1B94,5Ghz_subband0_PA_parameters_word0,,
618,26A,309,135,pa5g80b0w1a0,0xD4C6,5Ghz_subband0_PA_parameters_word1,,
620,26C,310,136,pa5g80b0w2a0,0xFC33,5Ghz_subband0_PA_parameters_word2,,
622,26E,311,137,pa5g80b0w3a0,0x2BF4,5Ghz_subband0_PA_parameters_word3,,
624,270,312,138,pa5g80b1w0a0,0x1B99,5Ghz_subband1_PA_parameters_word0,,
626,272,313,139,pa5g80b1w1a0,0xD533,5Ghz_subband1_PA_parameters_word1,,
628,274,314,13A,pa5g80b1w2a0,0xFC17,5Ghz_subband1_PA_parameters_word2,,
630,276,315,13B,pa5g80b1w3a0,0x2C17,5Ghz_subband1_PA_parameters_word3,,
632,278,316,13C,pa5g80b2w0a0,0x1B43,5Ghz_subband2_PA_parameters_word0,,
634,27A,317,13D,pa5g80b2w1a0,0xD85F,5Ghz_subband2_PA_parameters_word1,,
636,27C,318,13E,pa5g80b2w2a0,0xFA71,5Ghz_subband2_PA_parameters_word2,,
638,27E,319,13F,pa5g80b2w3a0,0x27D3,5Ghz_subband2_PA_parameters_word3,,
640,280,320,140,pa5g80b3w0a0,0x1B3C,5Ghz_subband3_PA_parameters_word0,,
642,282,321,141,pa5g80b3w1a0,0xD8B2,5Ghz_subband3_PA_parameters_word1,,
644,284,322,142,pa5g80b3w2a0,0xFA99,5Ghz_subband3_PA_parameters_word2,,
646,286,323,143,pa5g80b3w3a0,0x2A94,5Ghz_subband3_PA_parameters_word3,,
648,288,324,144,pa5g80b4w0a0,0x1B30,5Ghz_subband4_PA_parameters_word0,,
650,28A,325,145,pa5g80b4w1a0,0xD8B7,5Ghz_subband4_PA_parameters_word1,,
652,28C,326,146,pa5g80b4w2a0,0xFA84,5Ghz_subband4_PA_parameters_word2,,
654,28E,327,147,pa5g80b4w3a0,0x296A,5Ghz_subband4_PA_parameters_word3,,
656,290,328,148,maxp5gb4/maxp2ga1,0x4850,5G/2G Band ant1: Max Power subband4 (15:8) / Max Power (7:0),,
658,292,329,149,pa2g20b0w0a1,0x1BBB,2Ghz_subband0_PA_parameters_word0,,
660,294,330,14A,pa2g20b0w1a1,0xD0BF,2Ghz_subband0_PA_parameters_word1,,
662,296,331,14B,pa2g20b0w2a1,0x0000,2Ghz_subband0_PA_parameters_word2,,
664,298,332,14C,pa2g20b0w3a1,0x1341,2Ghz_subband0_PA_parameters_word3,,
666,29A,333,14D,rxgains core1,0xB3AB,"upper 8 bits 5G, lower 2G. 8 bit definition – tr_elnabypass[7], tr_iso[6:3], elna_gain[2:0]",,
668,29C,334,14E,maxp5gb0/maxp5gb1,0x4848,5G Band ant1: Max power subband1 (15:8) / Max power subband0 (7:0),,
670,29E,335,14F,maxp5gb2/maxp5gb3,0x4848,5G Band ant1: Max power subband3 (15:8) / Max power subband2 (7:0),,
672,2A0,336,150,pa5g20b0w0a1,0x19D3,5Ghz_subband0_PA_parameters_word0,,
674,2A2,337,151,pa5g20b0w1a1,0xE60F,5Ghz_subband0_PA_parameters_word1,,
676,2A4,338,152,pa5g20b0w2a1,0xF40F,5Ghz_subband0_PA_parameters_word2,,
678,2A6,339,153,pa5g20b0w3a1,0x2150,5Ghz_subband0_PA_parameters_word3,,
680,2A8,340,154,pa5g20b1w0a1,0x19E3,5Ghz_subband1_PA_parameters_word0,,
682,2AA,341,155,pa5g20b1w1a1,0xE56B,5Ghz_subband1_PA_parameters_word1,,
684,2AC,342,156,pa5g20b1w2a1,0xF48B,5Ghz_subband1_PA_parameters_word2,,
686,2AE,343,157,pa5g20b1w3a1,0x23C6,5Ghz_subband1_PA_parameters_word3,,
688,2B0,344,158,pa5g20b2w0a1,0x19DF,5Ghz_subband2_PA_parameters_word0,,
690,2B2,345,159,pa5g20b2w1a1,0xE5F4,5Ghz_subband2_PA_parameters_word1,,
692,2B4,346,15A,pa5g20b2w2a1,0xF44F,5Ghz_subband2_PA_parameters_word2,,
694,2B6,347,15B,pa5g20b2w3a1,0x23E2,5Ghz_subband2_PA_parameters_word3,,
696,2B8,348,15C,pa5g20b3w0a1,0x19C7,5Ghz_subband3_PA_parameters_word0,,
698,2BA,349,15D,pa5g20b3w1a1,0xE6C6,5Ghz_subband3_PA_parameters_word1,,
700,2BC,350,15E,pa5g20b3w2a1,0xF3E9,5Ghz_subband3_PA_parameters_word2,,
702,2BE,351,15F,pa5g20b3w3a1,0x225B,5Ghz_subband3_PA_parameters_word3,,
704,2C0,352,160,pa5g20b4w0a1,0x19A6,5Ghz_subband4_PA_parameters_word0,,
706,2C2,353,161,pa5g20b4w1a1,0xE6E4,5Ghz_subband4_PA_parameters_word1,,
708,2C4,354,162,pa5g20b4w2a1,0xF419,5Ghz_subband4_PA_parameters_word2,,
710,2C6,355,163,pa5g20b4w3a1,0x2449,5Ghz_subband4_PA_parameters_word3,,
712,2C8,356,164,pa2g40b0w0a1,0xffff,2Ghz_subband0_PA_parameters_word0,,
714,2CA,357,165,pa2g40b0w1a1,0xffff,2Ghz_subband0_PA_parameters_word1,,
716,2CC,358,166,pa2g40b0w2a1,0xffff,2Ghz_subband0_PA_parameters_word2,,
718,2CE,359,167,pa2g40b0w3a1,0xffff,2Ghz_subband0_PA_parameters_word3,,
720,2D0,360,168,pa5g40b0w0a1,0x1B63,5Ghz_subband0_PA_parameters_word0,,
722,2D2,361,169,pa5g40b0w1a1,0xD9F4,5Ghz_subband0_PA_parameters_word1,,
724,2D4,362,16A,pa5g40b0w2a1,0xF9AA,5Ghz_subband0_PA_parameters_word2,,
726,2D6,363,16B,pa5g40b0w3a1,0x2B22,5Ghz_subband0_PA_parameters_word3,,
728,2D8,364,16C,pa5g40b1w0a1,0x1B27,5Ghz_subband1_PA_parameters_word0,,
730,2DA,365,16D,pa5g40b1w1a1,0xDB84,5Ghz_subband1_PA_parameters_word1,,
732,2DC,366,16E,pa5g40b1w2a1,0xF8ED,5Ghz_subband1_PA_parameters_word2,,
734,2DE,367,16F,pa5g40b1w3a1,0x2A0D,5Ghz_subband1_PA_parameters_word3,,
736,2E0,368,170,pa5g40b2w0a1,0x1AFD,5Ghz_subband2_PA_parameters_word0,,
738,2E2,369,171,pa5g40b2w1a1,0xDCD9,5Ghz_subband2_PA_parameters_word1,,
740,2E4,370,172,pa5g40b2w2a1,0xF84F,5Ghz_subband2_PA_parameters_word2,,
742,2E6,371,173,pa5g40b2w3a1,0x28A1,5Ghz_subband2_PA_parameters_word3,,
744,2E8,372,174,pa5g40b3w0a1,0x1AEB,5Ghz_subband3_PA_parameters_word0,,
746,2EA,373,175,pa5g40b3w1a1,0xDD93,5Ghz_subband3_PA_parameters_word1,,
748,2EC,374,176,pa5g40b3w2a1,0xF81F,5Ghz_subband3_PA_parameters_word2,,
750,2EE,375,177,pa5g40b3w3a1,0x29B9,5Ghz_subband3_PA_parameters_word3,,
752,2F0,376,178,pa5g40b4w0a1,0x1A9A,5Ghz_subband4_PA_parameters_word0,,
754,2F2,377,179,pa5g40b4w1a1,0xDF21,5Ghz_subband4_PA_parameters_word1,,
756,2F4,378,17A,pa5g40b4w2a1,0xF793,5Ghz_subband4_PA_parameters_word2,,
758,2F6,379,17B,pa5g40b4w3a1,0x2A7C,5Ghz_subband4_PA_parameters_word3,,
760,2F8,380,17C,pa5g80b0w0a1,0x1B46,5Ghz_subband0_PA_parameters_word0,,
762,2FA,381,17D,pa5g80b0w1a1,0xD9B4,5Ghz_subband0_PA_parameters_word1,,
764,2FC,382,17E,pa5g80b0w2a1,0xF9FD,5Ghz_subband0_PA_parameters_word2,,
766,2FE,383,17F,pa5g80b0w3a1,0x249B,5Ghz_subband0_PA_parameters_word3,,
768,300,384,180,pa5g80b1w0a1,0x1B22,5Ghz_subband1_PA_parameters_word0,,
770,302,385,181,pa5g80b1w1a1,0xDAC9,5Ghz_subband1_PA_parameters_word1,,
772,304,386,182,pa5g80b1w2a1,0xF95F,5Ghz_subband1_PA_parameters_word2,,
774,306,387,183,pa5g80b1w3a1,0x22B0,5Ghz_subband1_PA_parameters_word3,,
776,308,388,184,pa5g80b2w0a1,0x1B0F,5Ghz_subband2_PA_parameters_word0,,
778,30A,389,185,pa5g80b2w1a1,0xDBAB,5Ghz_subband2_PA_parameters_word1,,
780,30C,390,186,pa5g80b2w2a1,0xF8D9,5Ghz_subband2_PA_parameters_word2,,
782,30E,391,187,pa5g80b2w3a1,0x210B,5Ghz_subband2_PA_parameters_word3,,
784,310,392,188,pa5g80b3w0a1,0x1AFB,5Ghz_subband3_PA_parameters_word0,,
786,312,393,189,pa5g80b3w1a1,0xDBD7,5Ghz_subband3_PA_parameters_word1,,
788,314,394,18A,pa5g80b3w2a1,0xF90D,5Ghz_subband3_PA_parameters_word2,,
790,316,395,18B,pa5g80b3w3a1,0x23B4,5Ghz_subband3_PA_parameters_word3,,
792,318,396,18C,pa5g80b4w0a1,0x1AC9,5Ghz_subband4_PA_parameters_word0,,
794,31A,397,18D,pa5g80b4w1a1,0xDD08,5Ghz_subband4_PA_parameters_word1,,
796,31C,398,18E,pa5g80b4w2a1,0xF88A,5Ghz_subband4_PA_parameters_word2,,
798,31E,399,18F,pa5g80b4w3a1,0x2233,5Ghz_subband4_PA_parameters_word3,,
800,320,400,190,maxp5gb4/maxp2ga2,0x4850,5G/2G Band ant2: Max Power subband4 (15:8) / Max Power (7:0),,
802,322,401,191,pa2g20b0w0a2,0x1D63,2Ghz_subband0_PA_parameters_word0,,
804,324,402,192,pa2g20b0w1a2,0xCCEF,2Ghz_subband0_PA_parameters_word1,,
806,326,403,193,pa2g20b0w2a2,0x0000,2Ghz_subband0_PA_parameters_word2,,
808,328,404,194,pa2g20b0w3a2,0x1125,2Ghz_subband0_PA_parameters_word3,,
810,32A,405,195,rxgains core2,0xB3AB,"upper 8 bits 5G, lower 2G. 8 bit definition – tr_elnabypass[7], tr_iso[6:3], elna_gain[2:0]",,
812,32C,406,196,maxp5gb0/maxp5gb1,0x4848,5G Band ant2: Max power subband1 (15:8) / Max power subband0 (7:0),,
814,32E,407,197,maxp5gb2/maxp5gb3,0x4848,5G Band ant2: Max power subband3 (15:8) / Max power subband2 (7:0),,
816,330,408,198,pa5g20b0w0a2,0x1A1A,5Ghz_subband0_PA_parameters_word0,,
818,332,409,199,pa5g20b0w1a2,0xE3E2,5Ghz_subband0_PA_parameters_word1,,
820,334,410,19A,pa5g20b0w2a2,0xF4FB,5Ghz_subband0_PA_parameters_word2,,
822,336,411,19B,pa5g20b0w3a2,0x21B9,5Ghz_subband0_PA_parameters_word3,,
824,338,412,19C,pa5g20b1w0a2,0x1A2D,5Ghz_subband1_PA_parameters_word0,,
826,33A,413,19D,pa5g20b1w1a2,0xE387,5Ghz_subband1_PA_parameters_word1,,
828,33C,414,19E,pa5g20b1w2a2,0xF52B,5Ghz_subband1_PA_parameters_word2,,
830,33E,415,19F,pa5g20b1w3a2,0x21EA,5Ghz_subband1_PA_parameters_word3,,
832,340,416,1A0,pa5g20b2w0a2,0x1A30,5Ghz_subband2_PA_parameters_word0,,
834,342,417,1A1,pa5g20b2w1a2,0xE34A,5Ghz_subband2_PA_parameters_word1,,
836,344,418,1A2,pa5g20b2w2a2,0xF536,5Ghz_subband2_PA_parameters_word2,,
838,346,419,1A3,pa5g20b2w3a2,0x2215,5Ghz_subband2_PA_parameters_word3,,
840,348,420,1A4,pa5g20b3w0a2,0x1A0C,5Ghz_subband3_PA_parameters_word0,,
842,34A,421,1A5,pa5g20b3w1a2,0xE487,5Ghz_subband3_PA_parameters_word1,,
844,34C,422,1A6,pa5g20b3w2a2,0xF4D8,5Ghz_subband3_PA_parameters_word2,,
846,34E,423,1A7,pa5g20b4w3a2,0x23AB,5Ghz_subband3_PA_parameters_word3,,
848,350,424,1A8,pa5g20b4w0a2,0x1A08,5Ghz_subband4_PA_parameters_word0,,
850,352,425,1A9,pa5g20b4w1a2,0xE458,5Ghz_subband4_PA_parameters_word1,,
852,354,426,1AA,pa5g20b4w2a2,0xF526,5Ghz_subband4_PA_parameters_word2,,
854,356,427,1AB,pa5g20b4w3a2,0x251C,5Ghz_subband4_PA_parameters_word3,,
856,358,428,1AC,pa2g40b0w0a2,0xffff,2Ghz_subband0_PA_parameters_word0,,
858,35A,429,1AD,pa2g40b0w1a2,0xffff,2Ghz_subband0_PA_parameters_word1,,
860,35C,430,1AE,pa2g40b0w2a2,0xffff,2Ghz_subband0_PA_parameters_word2,,
862,35E,431,1AF,pa2g40b0w3a2,0xffff,2Ghz_subband0_PA_parameters_word3,,
864,360,432,1B0,pa5g40b0w0a2,0x1BF2,5Ghz_subband0_PA_parameters_word0,,
866,362,433,1B1,pa5g40b0w1a2,0xD649,5Ghz_subband0_PA_parameters_word1,,
868,364,434,1B2,pa5g40b0w2a2,0xFB03,5Ghz_subband0_PA_parameters_word2,,
870,366,435,1B3,pa5g40b0w3a2,0x2B07,5Ghz_subband0_PA_parameters_word3,,
872,368,436,1B4,pa5g40b1w0a2,0x1BB9,5Ghz_subband1_PA_parameters_word0,,
874,36A,437,1B5,pa5g40b1w1a2,0xD83D,5Ghz_subband1_PA_parameters_word1,,
876,36C,438,1B6,pa5g40b1w2a2,0xFA01,5Ghz_subband1_PA_parameters_word2,,
878,36E,439,1B7,pa5g40b1w3a2,0x27A8,5Ghz_subband1_PA_parameters_word3,,
880,370,440,1B8,pa5g40b2w0a2,0x1B83,5Ghz_subband2_PA_parameters_word0,,
882,372,441,1B9,pa5g40b2w1a2,0xD8EE,5Ghz_subband2_PA_parameters_word1,,
884,374,442,1BA,pa5g40b2w2a2,0xF9F7,5Ghz_subband2_PA_parameters_word2,,
886,376,443,1BB,pa5g40b2w3a2,0x2B3E,5Ghz_subband2_PA_parameters_word3,,
888,378,444,1BC,pa5g40b3w0a2,0x1B84,5Ghz_subband3_PA_parameters_word0,,
890,37A,445,1BD,pa5g40b3w1a2,0xD954,5Ghz_subband3_PA_parameters_word1,,
892,37C,446,1BE,pa5g40b3w2a2,0xF9FA,5Ghz_subband3_PA_parameters_word2,,
